fund_code,benchmark_group,fund_name,ann_return_pct,ann_vol_pct,sharpe,ann_excess_return_pct,tracking_error_pct,information_ratio,max_drawdown_pct
001556.OF,SH500,天弘中证500指数增强A,50.16744880978943,21.69255767514188,2.312657159246728,5.72373656978943,2.9347245150227477,1.9503488455184912,-14.23911881082237
001557.OF,SH500,天弘中证500指数增强C,49.87001202829723,21.68655783368814,2.2995817229615203,5.426299788297242,2.9404706514995675,1.8453847806744688,-14.254131432045543
561550.OF,SH500,华泰柏瑞中证500增强策略ETF,52.30216046669788,22.621963499464716,2.3120079947054752,7.858448226697876,4.296123239079022,1.8291952510148486,-13.925431122622872
014305.OF,SH500,华泰柏瑞中证500指数增强A,50.72179571408003,20.44753514541828,2.4805823955483146,6.2780834740800335,4.327906376737532,1.4506051951180576,-11.729872747889626
014306.OF,SH500,华泰柏瑞中证500指数增强C,50.322819674967874,20.44101224179642,2.4618555617353977,5.879107434967878,4.330462952954344,1.3576163793196783,-11.744386873920552
159610.OF,SH500,景顺长城中证500增强策略ETF,49.36111368236501,21.439422017019872,2.302352817309126,4.917401442365012,4.142822995402217,1.1869687524237547,-12.887941246150202
004945.OF,SH500,长信中证500指数增强A,48.01263131669892,19.706374008659516,2.4364011002531907,3.5689190766989123,6.88359201766443,0.5184675482713791,-11.697445810883057
006048.OF,SH500,长城中证500指数增强A,46.116983074735195,21.881702539856835,2.1075591805863625,1.6732708347351983,4.403059511667016,0.38002457843266607,-12.487032696814852
012080.OF,SH500,易方达中证500量化增强A,45.3490096336237,19.51269602663939,2.3240770814915432,0.9052973936237052,3.914915718124438,0.2312431374786827,-11.749403858660298
012081.OF,SH500,易方达中证500量化增强C,45.04930519636879,19.512428300864705,2.30874930079166,0.6055929563687951,3.912523517920371,0.15478321180563454,-11.769016561629787
006682.OF,SH500,景顺长城中证500指数增强A,44.84160862250474,18.938496953101744,2.3677490739390796,0.3978963825047381,3.999502954578684,0.09948645794828605,-12.174940898345167
003016.OF,SH500,中金中证500指数增强A,44.84250635217012,20.156982755918193,2.2246636262564707,0.39879411217011984,4.160927777961018,0.09584259411624327,-13.099324975891994
016935.OF,SH500,景顺长城中证500指数增强C,44.47473945201498,18.934718657494678,2.348846067190501,0.031027212014978867,4.00512348906998,0.007746880239686098,-12.193905540870787
014155.OF,SH500,国泰海通中证500A,44.452404337810215,21.07139464042935,2.1096090266621506,0.00869209781021495,3.7724459196688125,0.0023041013695904856,-12.843311598498325
003578.OF,SH500,中金中证500指数增强C,44.44011750228963,20.152463115031853,2.2051953276689766,-0.0035947377103652057,4.165508689747507,-0.0008629768842429425,-13.120189461219667
014344.OF,SH500,鹏华中证500指数增强A,44.15990569381051,19.921713673345806,2.216672040261984,-0.28380654618948964,5.1408519193797595,-0.05520613132613451,-12.668611009843234
014156.OF,SH500,国泰海通中证500C,44.05532724739143,21.069758723724952,2.090926992808147,-0.3883849926085714,3.7808203880236624,-0.10272505772526021,-12.866711319490967
015508.OF,SH500,兴业中证500指数增强C,41.80210572265746,20.03654082105631,2.0862935421830806,-2.6416065173425416,5.1266527543984575,-0.5152692495266334,-12.832324295867338
003986.OF,SH500,申万菱信中证500优选增强A,40.695338185289266,19.028787880071647,2.1386195716600755,-3.7483740547107356,6.369107247957344,-0.5885242481845299,-10.746615087040622
009300.OF,SH500,西部利得中证500指数增强C,40.91740135002707,19.24135078765526,2.126534763675666,-3.526310889972927,4.52493000037405,-0.7793072798212187,-12.068812627471836
006729.OF,SH500,万家中证500指数增强A,37.48475830119925,14.98791521615174,2.5009988220912653,-6.958953938800751,8.13485460550897,-0.855449086218223,-8.851793554800771
006730.OF,SH500,万家中证500指数增强C,37.18175912028251,14.991618239409915,2.480169820662804,-7.2619531197174885,8.134625139403045,-0.8927212988022707,-8.875387687470786
007413.OF,SH500,长城中证500指数增强C,39.97585382769171,19.40315660344105,2.060275791445305,-4.467858412308289,4.965762068584156,-0.8997326796171228,-11.230332075151605
002906.OF,SH500,南方中证500增强A,39.953024042173624,19.483078110010368,2.050652562012049,-4.490688197826376,4.843092401766199,-0.9272357050608188,-12.042713070990697
005062.OF,SH500,博时中证500指数增强A,39.3831076747646,19.82936097844439,1.9861006977267806,-5.060604565235392,5.42529701037165,-0.9327792663813488,-13.323259691538142
002907.OF,SH500,南方中证500增强C,39.56112471701888,19.480747174446602,2.03078066579049,-4.882587522981119,4.845989038350398,-1.0075523250962986,-12.055241853187294
002316.OF,SH500,创金合信中证500指数增强C,38.4682775589808,17.759076901558068,2.1661192060948755,-5.975434681019203,5.8698312904751155,-1.017990873215632,-12.250230556409473
005994.OF,SH500,国投瑞银中证500量化增强A,39.826993581938666,19.735461021026612,2.0180422205240647,-4.616718658061336,4.4753785255051985,-1.031581715770105,-12.39566626297011
502000.OF,SH500,西部利得中证500指数增强A,38.5711386764313,18.061620571575336,2.1355303375785137,-5.872573563568696,5.279173004696786,-1.1124040750973632,-11.386548819223853
007089.OF,SH500,国投瑞银中证500量化增强C,39.42618053104252,19.729618824565772,1.9983244928154482,-5.0175317089574785,4.480337999070628,-1.1199002642207536,-12.414582421651456
006593.OF,SH500,博道中证500指数增强A,38.85140627086351,18.603474641404002,2.08839515304284,-5.592305969136492,4.936126345571149,-1.1329341223516467,-12.564696268046847
006594.OF,SH500,博道中证500指数增强C,38.49103452689483,18.557521583782393,2.0741473667762045,-5.952677713105169,4.967335224169004,-1.1983644035421437,-12.574725427498961
000478.OF,SH500,建信中证500指数增强A,37.930330165688005,19.371083725119593,1.9580902495662427,-6.513382074311991,4.510641887590048,-1.4440033672883683,-12.401679421768705
004192.OF,SH500,招商中证500指数增强A,34.55519815285052,18.65103337686485,1.852722980792772,-9.888514087149481,5.8596099395789105,-1.6875720720516254,-13.120634321313943
004193.OF,SH500,招商中证500指数增强C,34.15375300249308,18.647776078292416,1.8315188287921866,-10.28995923750692,5.861864983343325,-1.7554070704027074,-13.145904023267091
013332.OF,SH500,富国中证500指数增强C,35.21045096181743,18.664228637724047,1.8865205546534207,-9.233261278182576,4.774198177608885,-1.9339920411110738,-12.405891980360066
161017.OF,SH500,富国中证500指数增强A,30.92215566614348,16.516083110493767,1.8722450994749826,-13.52155657385653,6.402456098808964,-2.1119327278748417,-11.072463768115945
001050.OF,SH500,汇添富中证500指数增强A,29.48636103450868,16.326786099015152,1.8060113518782075,-14.957351205491323,6.921559524585433,-2.160979928347462,-11.531615200061916
016854.OF,SH500,汇添富中证500指数增强C,29.08008564649346,16.2979258295445,1.7842813834492828,-15.363626593506543,6.947091502386436,-2.211519250643078,-11.534391534391526
021186.OF,SH500,中信保诚中证500指数增强C,29.61206700834663,19.142825818151827,1.5469015541199536,-14.831645231653368,6.1674740816048494,-2.4048167913490444,-14.709837035443437
016276.OF,SH800,招商中证800指数增强A,35.95621297363132,17.048650325225385,2.1090357469781686,6.342396443631318,2.6436656501654126,2.3990917471861386,-8.663927458203464
022513.OF,SH800,人保中证800指数增强A,28.826496577487937,16.351687115356132,1.7629065657950678,-0.7873199525120623,4.056725033607226,-0.19407772180506408,-9.379468115527594
010673.OF,SH800,兴全中证800六个月持有指数增强A,11.136702130315989,15.188892705715384,0.7332135624425994,-18.47711439968401,8.220919190673635,-2.2475728043459777,-11.159851301115234
017094.OF,SH1000,易方达中证1000指数量化增强A,47.39543675576871,20.97000683145009,2.2601536154335764,11.958595075768722,2.7383091356153773,4.367145739767355,-13.21835614786227
017095.OF,SH1000,易方达中证1000指数量化增强C,46.985497358062275,20.963323868730914,2.2413190604828785,11.548655678062284,2.739189780766149,4.216084536804943,-13.241842025007616
015466.OF,SH1000,太平中证1000指数增强A,46.750249432300706,21.08665422390984,2.217053921209146,11.313407752300707,4.1784948700792715,2.7075318036913316,-13.066608761739326
019240.OF,SH1000,华泰柏瑞中证1000指数增强A,45.555210753167586,20.991809684815898,2.1701421381558754,10.118369073167587,3.8575260792223007,2.623020263600527,-13.766264630740896
019241.OF,SH1000,华泰柏瑞中证1000指数增强C,45.145622852514265,20.986212965893735,2.151203884468522,9.708781172514268,3.85461037908655,2.5187451435273247,-13.78689704823614
018013.OF,SH1000,长信中证1000指数增强A,47.4663977054984,20.662446866578765,2.297230236670308,12.0295560254984,4.938432404980787,2.4359057771785375,-12.169655497876365
015867.OF,SH1000,国泰海通中证1000指数增强A,43.10356277957992,21.15052497066631,2.037942927627579,7.66672109957992,3.236628579675144,2.3687367613708146,-13.174868609651224
018014.OF,SH1000,长信中证1000指数增强C,47.058294548444316,20.659466231944275,2.277807859124714,11.621452868444315,4.946784474847619,2.3492943603131815,-12.18973747016706
015868.OF,SH1000,国泰海通中证1000指数增强C,42.703880074659075,21.147340029458974,2.0193499520587976,7.26703839465907,3.242522610675164,2.2411681481369574,-13.198061780738946
017953.OF,SH1000,汇添富中证1000指数增强A,44.22426872089248,20.417508566097204,2.1659973143993603,8.787427040892482,4.2947371130742935,2.0460919515053146,-12.900370636720698
017954.OF,SH1000,汇添富中证1000指数增强C,43.97127615329578,20.411729185739258,2.1542161251098952,8.534434473295782,4.2919718073254725,1.9884647095606123,-12.908797147473397
014201.OF,SH1000,天弘中证1000指数增强A,41.8652993742597,21.428199507566877,1.953747880659592,6.428457694259704,3.2523120013488636,1.9765808728048126,-13.462237847011757
017644.OF,SH1000,博道中证1000指数增强A,43.86204875912166,20.65199937240673,2.123864521210766,8.425207079121664,4.307817312210703,1.9557948883393996,-14.084507042253511
014202.OF,SH1000,天弘中证1000指数增强C,41.56950220985103,21.427250710632826,1.940029673952666,6.132660529851028,3.2535530601840557,1.8849117922497012,-13.476526541884015
017645.OF,SH1000,博道中证1000指数增强C,43.45306838650785,20.647182437179648,2.104551965805337,8.016226706507855,4.304017320616953,1.8624987097772134,-14.108883163436763
017846.OF,SH1000,国金中证1000指数增强A,43.61084741390741,20.277959886668175,2.150652612868592,8.174005733907407,5.607616626133807,1.4576612987081121,-10.42989904392593
017847.OF,SH1000,国金中证1000指数增强C,43.20978321002844,20.28361930331741,2.130279737746874,7.77294153002844,5.612313487917671,1.3849799279320771,-10.451193938983959
161039.OF,SH1000,富国中证1000指数增强A,40.227838435334185,19.827710296419813,2.028869588769305,4.790996755334186,3.554206149659342,1.3479794231388031,-13.522987730888506
013331.OF,SH1000,富国中证1000指数增强C,40.02414265787064,19.82609928686182,2.0187603259100735,4.587300977870645,3.551642509476559,1.2915998627763696,-13.533553280500673
159680.OF,SH1000,招商中证1000增强策略ETF,40.01084337155033,20.411337351584248,1.9602264507398799,4.57400169155033,4.619852900639894,0.9900751798648798,-13.603588258672572
019555.OF,SH1000,中银中证1000指数增强A,39.858503210630246,18.541666206103642,2.1496721366664135,4.421661530630248,5.020515120853964,0.8807186960285752,-11.255178350460001
018157.OF,SH1000,西部利得中证1000指数增强A,38.94394872255235,19.958953573593995,1.951201929447634,3.507107042552345,4.094905422256525,0.8564561768607908,-13.140426628858668
018158.OF,SH1000,西部利得中证1000指数增强C,38.54266310124005,19.956470362274377,1.931336674350036,3.1058214212400492,4.097727786573264,0.757937467544007,-13.153435014991524
016936.OF,SH1000,博时中证1000指数增强A,37.56393893510752,19.967346489759986,1.881268447681405,2.1270972551075222,4.453536235022726,0.47761983800198443,-11.18885196198472
017919.OF,SH1000,中欧中证1000指数增强A,37.338710369287334,19.6632874878769,1.8989047682035847,1.901868689287331,4.1748357310725295,0.4555553348200205,-12.374272101641083
016937.OF,SH1000,博时中证1000指数增强C,37.26746822842354,19.97152943216009,1.8660297577616591,1.8306265484235387,4.452226822515622,0.41117099855869155,-11.20978650826324
017920.OF,SH1000,中欧中证1000指数增强C,36.737747359947406,19.654303889501243,1.8691960583539995,1.3009056799474021,4.181481492519339,0.31111118924589753,-12.409054163298297
016785.OF,SH1000,鹏华中证1000指数增强A,36.43295947750048,19.94137159973385,1.8270036890535024,0.996117797500482,4.138179843609587,0.240713993868281,-12.741790373369316
004194.OF,SH1000,招商中证1000指数增强A,35.55544972350625,20.728938291216693,1.7152566727728586,0.11860804350624868,4.371754899842704,0.027130533669789268,-12.297555791710941
004195.OF,SH1000,招商中证1000指数增强C,35.15395755882206,20.725385784859036,1.6961786826908591,-0.28288412117794226,4.376577558632706,-0.06463592096522074,-12.321366329731612
016942.OF,SH1000,工银瑞信中证1000指数增强A,34.133073759085384,19.560637616713738,1.7449877876128188,-1.3037679209146142,6.249980443728356,-0.20860352006747496,-13.841088401565502
016943.OF,SH1000,工银瑞信中证1000指数增强C,33.72915867404548,19.55610110867829,1.7247384070374692,-1.707683005954521,6.262041191276711,-0.2727038921962691,-13.870906919741053
006165.OF,SH1000,建信中证1000指数增强A,32.95659700599659,16.053034177974627,2.0529824231741993,-2.480244674003409,6.383060926979259,-0.38856666141477175,-9.477401609562298
006166.OF,SH1000,建信中证1000指数增强C,32.5501626041217,16.007139999279445,2.0334777234151096,-2.8866790758782983,6.421259356311112,-0.4495503009142803,-9.47783045175682
005313.OF,SH1000,万家中证1000指数增强A,29.858005564596567,14.294170174569294,2.0888239890775075,-5.578836115403429,7.804917599003634,-0.7147847552055663,-8.387920734973008
005314.OF,SH1000,万家中证1000指数增强C,29.87171868088392,14.418098130187998,2.07182101350384,-5.565122999116078,7.698247042731925,-0.7229078215111616,-8.47807757166947
015784.OF,SH1000,中信建投中证1000A,28.309134511435865,17.31077567531264,1.6353475455064834,-7.127707168564139,6.821058817109114,-1.044956121868626,-12.231330278190152
019918.OF,SH2000,招商中证2000指数增强A,39.496675698029726,21.064168620228024,1.875064542547427,10.287421818029724,5.050007050829394,2.037110387071669,-13.349439703916936
019919.OF,SH2000,招商中证2000指数增强C,39.20219065027756,21.064250093824448,1.8610769657435247,9.992936770277556,5.056851724692375,1.9761182083869502,-13.367822038282458
159552.OF,SH2000,招商中证2000增强策略ETF,34.95376365671022,21.539102798944423,1.6228049971711551,5.744509776710221,5.365550678174228,1.0706281836228868,-14.261348727368148
018653.OF,CN2000,万家国证2000指数增强A,44.119007944147135,20.995952166596716,2.101310176079454,10.131276724147135,4.485417845266803,2.2587141429506,-12.664971546192023
019318.OF,CN2000,汇添富国证2000指数增强A,44.2918264533254,21.072345734735627,2.1018934963806526,10.304095233325402,4.899809800753134,2.102958207018891,-13.861141331223429
019319.OF,CN2000,汇添富国证2000指数增强C,43.890674052061385,21.0712038424451,2.0829694582352025,9.902942832061385,4.899740756615226,2.0211156720263714,-13.885006987422639
